HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.list,Input.item_1_condition,Input.field_1_1,Input.item_2_condition,Input.field_2_1,Input.item_3_condition,Input.field_3_1,Input.item_4_condition,Input.field_4_1,Input.item_5_condition,Input.field_5_1,Answer.Choice1,Answer.Choice2,Answer.Choice3,Answer.Choice4,Answer.Choice5,Answer.ChoiceSample1,Answer.ChoiceSample2,Answer.english,Answer.foreignlang,Answer.numanswered,Answer.useragent,Approve,Reject
3NZ1E5QA60Z2NECP5HGDW2ZTP1TB5S,3NWM3X0LA9JXJI6SOLNP3LORGTLPX3,Sentence rating (1 min),Rate five English sentences on how possible they are in English (1 minute).,"survey, ratings, English, easy",$0.25 ,Sun Apr 28 13:33:42 PDT 2019,2,BatchId:3623659;OriginalHitTemplateId:920937340;,1800,259200,Sun May 05 16:29:18 PDT 2019,,,33L7PJKHCIWOT2N2T4J2W0BUF23T8L,A0017268R9SKD8U2Y3F,Submitted,Sun Apr 28 16:30:12 PDT 2019,Sun Apr 28 16:30:44 PDT 2019,Wed May 01 16:30:44 PDT 2019,,,,32,0% (0/0),0% (0/0),0% (0/0),341,experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=0-npi_present=0-paradigm=5067-acceptability=1,The adults are saying that those essays have not disagreed.,experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=0-npi_present=1-paradigm=1313-acceptability=0,Any cashiers wonder whether the pedestrians returned to drivers.,experiment=NPI-env=adverbs-npi=ever-crucial_item=seldom-licensor=1-scope=1-npi_present=1-paradigm=97-acceptability=1,The ladies seldom ever think that a dancer had watched a child.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=only-npi=any-crucial_item=even-licensor=0-scope=1-npi_present=0-paradigm=1560-acceptability=1,Even the guests had respected these cafes.,2,3,1,6,6,,,1,0,5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",x,
37VHPF5VYD14K1NXHFJBJ6F29CU8CY,3NWM3X0LA9JXJI6SOLNP3LORGTLPX3,Sentence rating (1 min),Rate five English sentences on how possible they are in English (1 minute).,"survey, ratings, English, easy",$0.25 ,Sun Apr 28 13:33:34 PDT 2019,1,BatchId:3623659;OriginalHitTemplateId:920937340;,1800,259200,Sun May 05 13:33:34 PDT 2019,,,3ZSY5X72NZ9EYFXQWW33T70C6M3RO2,A05062513MWBSOJW7FC52,Submitted,Sun Apr 28 13:39:24 PDT 2019,Sun Apr 28 13:40:35 PDT 2019,Wed May 01 13:40:35 PDT 2019,,,,71,0% (0/0),0% (0/0),0% (0/0),241,experiment=NPI-env=quantifier-npi=ever-crucial_item=any-licensor=1-scope=1-npi_present=1-paradigm=1102-acceptability=1,Any dancers who might ever observe customers have remembered some waiters.,experiment=NPI-env=adverbs-npi=ever-crucial_item=always-licensor=0-scope=1-npi_present=1-paradigm=13-acceptability=0,The girls always ever imagined that the drivers have concurred.,experiment=NPI-env=quantifier-npi=any-crucial_item=a-licensor=0-scope=0-npi_present=1-paradigm=184-acceptability=0,A teenager who is lifting the gloves is boycotting any malls.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=0-paradigm=1207-acceptability=1,The women wonder whether the guys are at the movie theaters.,5,1,5,6,6,6,2,1,0,5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.108 Safari/537.36",x,
39WSF6KUV3JM2RURKNE26G559TBOEA,3NWM3X0LA9JXJI6SOLNP3LORGTLPX3,Sentence rating (1 min),Rate five English sentences on how possible they are in English (1 minute).,"survey, ratings, English, easy",$0.25 ,Sun Apr 28 13:33:45 PDT 2019,1,BatchId:3623659;OriginalHitTemplateId:920937340;,1800,259200,Sun May 05 13:33:45 PDT 2019,,,3I33IC7ZWH08SRM47NJKR48Z5DKA28,A10249252O9I20MRSOBVF,Submitted,Sun Apr 28 13:43:07 PDT 2019,Sun Apr 28 13:44:40 PDT 2019,Wed May 01 13:44:40 PDT 2019,,,,93,0% (0/0),0% (0/0),0% (0/0),385,experiment=NPI-env=superlative-npi=any-crucial_item=small-licensor=0-scope=0-npi_present=0-paradigm=1280-acceptability=1,Those ladies cleaned the small glass that people have taken.,experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=1-scope=1-npi_present=1-paradigm=1627-acceptability=1,Are the doctors going to any restaurants?,experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=no-licensor=1-scope=1-npi_present=1-paradigm=5217-acceptability=1,No senators have imagined that any senators cry.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=365-acceptability=1,The waitresses wonder whether the women ever have talked to the actors.,4,6,6,6,5,5,1,1,0,5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",x,
3I6NF2WGIHUYEVK0L38RXDQQ5ELG5E,3NWM3X0LA9JXJI6SOLNP3LORGTLPX3,Sentence rating (1 min),Rate five English sentences on how possible they are in English (1 minute).,"survey, ratings, English, easy",$0.25 ,Sun Apr 28 13:33:40 PDT 2019,1,BatchId:3623659;OriginalHitTemplateId:920937340;,1800,259200,Sun May 05 13:33:40 PDT 2019,,,3JBT3HLQFA05L6VILDAV4A71P8LZPN,A103XX92AATRSG,Submitted,Sun Apr 28 14:07:58 PDT 2019,Sun Apr 28 14:13:07 PDT 2019,Wed May 01 14:13:07 PDT 2019,,,,309,0% (0/0),0% (0/0),0% (0/0),319,experiment=NPI-env=adverbs-npi=any-crucial_item=rarely-licensor=1-scope=0-npi_present=0-paradigm=1600-acceptability=1,The senators who rarely did reference cashiers talk about the dancers.,experiment=NPI-env=quantifier-npi=ever-crucial_item=every-licensor=1-scope=1-npi_present=1-paradigm=1833-acceptability=1,Every adult who can ever escape from some public parks would listen to many waiters.,experiment=NPI-env=superlative-npi=ever-crucial_item=good-licensor=0-scope=0-npi_present=1-paradigm=370-acceptability=0,A teacher has ever left the good high school that the customers had driven to.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=0-npi_present=1-paradigm=268-acceptability=0,The children ever wonder whether the boy drops by the malls.,3,3,2,6,4,6,1,1,0,5,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0,x,
3YGE63DIN9VVGAOZ326X2LGNIUZW07,3NWM3X0LA9JXJI6SOLNP3LORGTLPX3,Sentence rating (1 min),Rate five English sentences on how possible they are in English (1 minute).,"survey, ratings, English, easy",$0.25 ,Sun Apr 28 13:33:31 PDT 2019,1,BatchId:3623659;OriginalHitTemplateId:920937340;,1800,259200,Sun May 05 13:33:31 PDT 2019,,,3WAKVUDHUYEZT1X8J4H6NW11NWZU7L,A10J94EOXPN5PD,Submitted,Sun Apr 28 13:55:34 PDT 2019,Sun Apr 28 13:56:54 PDT 2019,Wed May 01 13:56:54 PDT 2019,,,,80,0% (0/0),0% (0/0),0% (0/0),23,experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=1-npi_present=1-paradigm=675-acceptability=1,The adults should not ever imagine that a book will win.,experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=1-npi_present=1-paradigm=1856-acceptability=0,The patients say that the men have worn any gloves.,experiment=NPI-env=quantifier-npi=any-crucial_item=the-licensor=0-scope=0-npi_present=0-paradigm=257-acceptability=1,The boy who has kissed many guys had discussed these reports.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=none of the-licensor=1-scope=1-npi_present=0-paradigm=5496-acceptability=1,None of the teachers have imagined that those teenagers should conspire.,5,2,5,6,5,6,1,1,0,5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Safari/605.1.15",x,
3UQ1LLR26B6B6TAIRQWOIGBKT98LAV,3NWM3X0LA9JXJI6SOLNP3LORGTLPX3,Sentence rating (1 min),Rate five English sentences on how possible they are in English (1 minute).,"survey, ratings, English, easy",$0.25 ,Sun Apr 28 13:33:36 PDT 2019,1,BatchId:3623659;OriginalHitTemplateId:920937340;,1800,259200,Sun May 05 13:33:36 PDT 2019,,,3BDCF01OGZSFPV6FXZF59MPFE4HLYL,A10U1MDBII93UW,Submitted,Sun Apr 28 14:18:32 PDT 2019,Sun Apr 28 14:19:37 PDT 2019,Wed May 01 14:19:37 PDT 2019,,,,65,0% (0/0),0% (0/0),0% (0/0),97,experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=0-scope=1-npi_present=1-paradigm=1087-acceptability=0,The girls had returned to any men.,experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=0-npi_present=0-paradigm=369-acceptability=1,"If the guest respects the actresses, the boys will fortunately know the pedestrians.",experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=0-npi_present=1-paradigm=75-acceptability=0,The teachers were ever thinking that the guests have really dated.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=0-npi_present=0-paradigm=771-acceptability=1,The doctors often wonder whether the man helped the adults.,2,2,1,6,5,,,1,0,5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.108 Safari/537.36",x,
3M4KL7H8KWLXTKUB83XTIW0KZKD16F,3NWM3X0LA9JXJI6SOLNP3LORGTLPX3,Sentence rating (1 min),Rate five English sentences on how possible they are in English (1 minute).,"survey, ratings, English, easy",$0.25 ,Sun Apr 28 13:33:26 PDT 2019,1,BatchId:3623659;OriginalHitTemplateId:920937340;,1800,259200,Sun May 05 13:33:26 PDT 2019,,,3OHYZ19UGE3MZYB9ULHHYHB26IFAOD,A1198W1SPF1R4,Submitted,Sun Apr 28 13:35:57 PDT 2019,Sun Apr 28 13:39:39 PDT 2019,Wed May 01 13:39:39 PDT 2019,,,,222,0% (0/0),0% (0/0),0% (0/0),488,experiment=NPI-env=superlative-npi=any-crucial_item=young-licensor=0-scope=1-npi_present=0-paradigm=1889-acceptability=1,The eyes resemble the young actor that those teenagers have kissed.,experiment=NPI-env=adverbs-npi=any-crucial_item=always-licensor=0-scope=1-npi_present=0-paradigm=1359-acceptability=1,The pedestrians who will always arrive at these art galleries should like fish.,experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=0-npi_present=1-paradigm=1069-acceptability=0,"If the ladies scan the stories, the people will take any books.",attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=0-scope=1-npi_present=1-paradigm=1020-acceptability=0,The drivers had talked about any schools.,5,4,2,6,2,6,2,0,1,5,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",x,
3TC2K6WK9H0RMJVVKMU57T6GXLH82P,3NWM3X0LA9JXJI6SOLNP3LORGTLPX3,Sentence rating (1 min),Rate five English sentences on how possible they are in English (1 minute).,"survey, ratings, English, easy",$0.25 ,Sun Apr 28 13:33:27 PDT 2019,2,BatchId:3623659;OriginalHitTemplateId:920937340;,1800,259200,Sun May 05 13:33:27 PDT 2019,,,39ZSFO5CAAUSDWYAKD63QM6AER1JUJ,A11WCFPJSR5VZP,Submitted,Sun Apr 28 14:17:57 PDT 2019,Sun Apr 28 14:27:38 PDT 2019,Wed May 01 14:27:38 PDT 2019,,,,581,0% (0/0),0% (0/0),0% (0/0),497,experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=0-npi_present=1-paradigm=324-acceptability=0,The teacher did ever imagine that the waitress will really murmur.,experiment=NPI-env=quantifier-npi=any-crucial_item=any-licensor=1-scope=0-npi_present=1-paradigm=16-acceptability=0,Any guys who investigate more than three college campuses have kissed any actresses.,experiment=NPI-env=adverbs-npi=any-crucial_item=sometimes-licensor=0-scope=0-npi_present=0-paradigm=1632-acceptability=1,A doctor who sometimes walks through college campuses insults those women.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=adverbs-npi=ever-crucial_item=often-licensor=0-scope=0-npi_present=0-paradigm=993-acceptability=1,A girl clearly says that the teachers had often brought the forks.,4,2,3,6,6,6,2,1,0,5,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",x,
39TX062QX2M6M2SMWUK262S1U8Q3X3,3NWM3X0LA9JXJI6SOLNP3LORGTLPX3,Sentence rating (1 min),Rate five English sentences on how possible they are in English (1 minute).,"survey, ratings, English, easy",$0.25 ,Sun Apr 28 13:33:31 PDT 2019,1,BatchId:3623659;OriginalHitTemplateId:920937340;,1800,259200,Sun May 05 13:33:31 PDT 2019,,,3PWWM24LHUWU93TPAPZ6VD24FPK822,A120PN22KW0VPY,Submitted,Sun Apr 28 13:45:46 PDT 2019,Sun Apr 28 13:48:57 PDT 2019,Wed May 01 13:48:57 PDT 2019,,,,191,0% (0/0),0% (0/0),0% (0/0),27,experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=1-npi_present=0-paradigm=1667-acceptability=1,"While the ladies tour those schools, the teacher will run around the movie theaters.",experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=1971-acceptability=1,These teachers say that the person forgot the newspaper articles.,experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=1-scope=1-npi_present=0-paradigm=1649-acceptability=1,Has the adult respected the adults?,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=superlative-npi=any-crucial_item=longest-licensor=1-scope=0-npi_present=1-paradigm=1376-acceptability=0,Any stories do talk about the longest newspaper articles that customers have scanned.,2,5,3,6,2,5,2,1,0,5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.108 Safari/537.36",x,
356ZPKYPUIF2TWNJZO3B2J2B1ABYPF,3NWM3X0LA9JXJI6SOLNP3LORGTLPX3,Sentence rating (1 min),Rate five English sentences on how possible they are in English (1 minute).,"survey, ratings, English, easy",$0.25 ,Sun Apr 28 13:33:32 PDT 2019,1,BatchId:3623659;OriginalHitTemplateId:920937340;,1800,259200,Sun May 05 13:33:32 PDT 2019,,,39OWYR0EPMPTP3WJBOC7E9KVH8RFY6,A128VDS8TMHBDP,Submitted,Sun Apr 28 13:36:37 PDT 2019,Sun Apr 28 13:43:27 PDT 2019,Wed May 01 13:43:27 PDT 2019,,,,410,0% (0/0),0% (0/0),0% (0/0),207,experiment=NPI-env=only-npi=any-crucial_item=only-licensor=1-scope=1-npi_present=1-paradigm=1130-acceptability=1,Only the teachers talked about any actresses.,experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=1834-acceptability=1,The actors wonder whether the cashier had escaped from any guys.,experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=no-licensor=1-scope=0-npi_present=0-paradigm=5790-acceptability=1,These children will think that no adults cope.,attention_check_item_6,Show that you are paying attention by choosing the highest number on the scale.,experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=0-paradigm=469-acceptability=1,The actresses wonder whether the patient clearly kisses the guests.,4,5,6,6,4,6,1,1,1,5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",x,
