NPI-adverbs	The waiters often ever think that the actress will boast.	The waiters hardly ever think that the actress will boast.	0	env=adverbs_licensor=0-1_scope=1_npi_present=1
NPI-adverbs	The women always ever imagine that the senator could describe the customers.	The women hardly ever imagine that the senator could describe the customers.	0	env=adverbs_licensor=0-1_scope=1_npi_present=1
NPI-adverbs	A woman who always knows any children investigates banks.	A woman who seldom knows any children investigates banks.	0	env=adverbs_licensor=0-1_scope=1_npi_present=1
NPI-adverbs	The boy seldom ever thought that a person chuckled.	The boy often ever thought that a person chuckled.	1	env=adverbs_licensor=0-1_scope=1_npi_present=1
NPI-adverbs	The guest who can seldom investigate any men had arrived at restaurants.	The guest who can often investigate any men had arrived at restaurants.	1	env=adverbs_licensor=0-1_scope=1_npi_present=1
NPI-adverbs	A guy who would seldom watch any teachers does walk through museums.	A guy who would often watch any teachers does walk through museums.	1	env=adverbs_licensor=0-1_scope=1_npi_present=1
NPI-adverbs	The teenagers who often do take any shoes reference reports.	The teenagers who hardly do take any shoes reference reports.	0	env=adverbs_licensor=0-1_scope=1_npi_present=1
NPI-adverbs	The ladies who often toured any high schools dislike customers.	The ladies who scarcely toured any high schools dislike customers.	0	env=adverbs_licensor=0-1_scope=1_npi_present=1
NPI-adverbs	A man always ever explained that the guys do blink.	A man seldom ever explained that the guys do blink.	0	env=adverbs_licensor=0-1_scope=1_npi_present=1
NPI-adverbs	An actress barely ever thought that the waitresses might talk about the bank.	An actress always ever thought that the waitresses might talk about the bank.	1	env=adverbs_licensor=0-1_scope=1_npi_present=1
NPI-adverbs	The students who always went to any museums have worked with women.	The students who rarely went to any museums have worked with women.	0	env=adverbs_licensor=0-1_scope=1_npi_present=1
NPI-adverbs	The guy who often was at any college campuses does skate around high schools.	The guy who seldom was at any college campuses does skate around high schools.	0	env=adverbs_licensor=0-1_scope=1_npi_present=1
NPI-adverbs	A patient who had scarcely insulted any girls bikes to libraries.	A patient who had always insulted any girls bikes to libraries.	1	env=adverbs_licensor=0-1_scope=1_npi_present=1
NPI-adverbs	The cashier who rarely discussed any girls had boycotted malls.	The cashier who sometimes discussed any girls had boycotted malls.	1	env=adverbs_licensor=0-1_scope=1_npi_present=1
NPI-adverbs	The drivers always ever say that the pedestrians can be at the school.	The drivers barely ever say that the pedestrians can be at the school.	0	env=adverbs_licensor=0-1_scope=1_npi_present=1
NPI-adverbs	The teachers always ever imagine that the cashiers had hugged the guests.	The teachers seldom ever imagine that the cashiers had hugged the guests.	0	env=adverbs_licensor=0-1_scope=1_npi_present=1
NPI-adverbs	The students barely ever imagine that the man has respected the child.	The students always ever imagine that the man has respected the child.	1	env=adverbs_licensor=0-1_scope=1_npi_present=1
NPI-adverbs	The women who sometimes break any couches walk through public parks.	The women who rarely break any couches walk through public parks.	0	env=adverbs_licensor=0-1_scope=1_npi_present=1
NPI-adverbs	A man barely ever imagined that the drivers will sing.	A man sometimes ever imagined that the drivers will sing.	1	env=adverbs_licensor=0-1_scope=1_npi_present=1
NPI-adverbs	The adults who seldom attacked any teenagers have lifted chairs.	The adults who sometimes attacked any teenagers have lifted chairs.	1	env=adverbs_licensor=0-1_scope=1_npi_present=1
NPI-adverbs	The guy often ever imagines that the children bike to the high school.	The guy seldom ever imagines that the children bike to the high school.	0	env=adverbs_licensor=0-1_scope=1_npi_present=1
NPI-adverbs	A senator barely ever thought that the children have hated the actors.	A senator always ever thought that the children have hated the actors.	1	env=adverbs_licensor=0-1_scope=1_npi_present=1
NPI-adverbs	The customer who often bikes to any libraries kissed waiters.	The customer who seldom bikes to any libraries kissed waiters.	0	env=adverbs_licensor=0-1_scope=1_npi_present=1
NPI-adverbs	The pedestrian who scarcely talks about any museums attacks actresses.	The pedestrian who always talks about any museums attacks actresses.	1	env=adverbs_licensor=0-1_scope=1_npi_present=1
NPI-adverbs	The waitress who hardly does hug any waitresses has known boys.	The waitress who always does hug any waitresses has known boys.	1	env=adverbs_licensor=0-1_scope=1_npi_present=1
NPI-adverbs	The people seldom ever imagine that the actresses conferred.	The people always ever imagine that the actresses conferred.	1	env=adverbs_licensor=0-1_scope=1_npi_present=1
NPI-adverbs	A man always ever thinks that the patients meet.	A man hardly ever thinks that the patients meet.	0	env=adverbs_licensor=0-1_scope=1_npi_present=1
