NPI-adverbs	the actors sometimes ever explained that the cashiers had left a human .	the actors sometimes also explained that the cashiers had left a human .	0
NPI-adverbs	the actress always also says that the guy will tour the schools .	the actress always ever says that the guy will tour the schools .	1
NPI-adverbs	a man sometimes ever explains that the ladies had known the customer .	a man sometimes also explains that the ladies had known the customer .	0
NPI-adverbs	the people who had always boycotted any hospitals do go to banks .	the people who had scarcely boycotted any hospitals do go to banks .	0
NPI-adverbs	a doctor who scarcely answers at all wears gloves .	a doctor who sometimes answers at all wears gloves .	1
NPI-adverbs	the men who can often resemble banks kissed the alumni .	the men who can often resemble banks kissed any alumni .	1
NPI-adverbs	the waitresses sometimes also imagined that the patients have donated .	the waitresses sometimes ever imagined that the patients have donated .	1
NPI-adverbs	the boys who would sometimes talk about the guests should love actors .	the boys who would sometimes talk about any guests should love actors .	1
NPI-adverbs	the gals barely explained that the driver might ever return to the children .	the gals barely explained that the driver might also return to the children .	0
NPI-adverbs	the drivers who often sat down at all could forget girls .	the drivers who rarely sat down at all could forget girls .	0
NPI-adverbs	an actor who sometimes helps alumni has taken the couches .	an actor who sometimes helps alumni has taken any couches .	1
NPI-adverbs	the boys seldom explained that the girls also paint .	the boys seldom explained that the girls ever paint .	1
NPI-adverbs	the students who sometimes examined reports went to any hospitals .	the students who sometimes examined reports went to the hospitals .	0
NPI-adverbs	the guests who sometimes broke any chairs drop by art galleries .	the guests who hardly broke any chairs drop by art galleries .	0
NPI-adverbs	a gal who scarcely attacks fish dislikes any adults .	a gal who scarcely attacks fish dislikes the adults .	0
NPI-adverbs	the teenagers who seldom grinned at all cooked .	the teenagers who sometimes grinned at all cooked .	1
NPI-adverbs	the children always also explain that the teenager wept .	the children always ever explain that the teenager wept .	1
NPI-adverbs	a child who had sometimes boycotted any banks had criticized movies .	a child who had sometimes boycotted the banks had criticized movies .	0
NPI-adverbs	the students who scarcely hide away at all examined books .	the students who sometimes hide away at all examined books .	1
NPI-adverbs	the people often ever imagine that the people examined the pamphlets .	the people hardly ever imagine that the people examined the pamphlets .	0
NPI-adverbs	the teachers who will always concur at all do admire customers .	the teachers who will scarcely concur at all do admire customers .	0
NPI-adverbs	the students who scarcely examined reports went to the hospitals .	the students who scarcely examined reports went to any hospitals .	1
NPI-adverbs	the people hardly imagine that the people ever examined the pamphlets .	the people hardly imagine that the people also examined the pamphlets .	0
NPI-adverbs	the waitresses seldom thought that the boys have also investigated the fish .	the waitresses seldom thought that the boys have ever investigated the fish .	1
NPI-adverbs	the ladies who have always talked to geese at all examined movies .	the ladies who have rarely talked to geese at all examined movies .	0
NPI-adverbs	a doctor who sometimes forgets girls bikes to the banks .	a doctor who sometimes forgets girls bikes to any banks .	1
NPI-adverbs	a man scarcely explains that the ladies had ever known the customer .	a man scarcely explains that the ladies had also known the customer .	0
NPI-adverbs	the children who often observe any children should watch cashiers .	the children who rarely observe any children should watch cashiers .	0
NPI-adverbs	the doctor who had always loved ladies would skate around any high schools .	the doctor who had always loved ladies would skate around the high schools .	0
NPI-adverbs	the driver often says that the men should also negotiate .	the driver often says that the men should ever negotiate .	1
NPI-adverbs	the lady who rarely criticizes malls had listened to any mice .	the lady who rarely criticizes malls had listened to the mice .	0
NPI-adverbs	the guest who sometimes worked with any actresses respects public parks .	the guest who sometimes worked with the actresses respects public parks .	0
NPI-adverbs	the adults barely ever say that the pedestrians surrendered .	the adults always ever say that the pedestrians surrendered .	1
NPI-adverbs	the women rarely ever say that the men had visited the people .	the women often ever say that the men had visited the people .	1
NPI-adverbs	the guests often ever thought that a boy been at the grocery stores .	the guests often also thought that a boy been at the grocery stores .	0
NPI-adverbs	the girls who seldom referenced deer might drop by any public parks .	the girls who seldom referenced deer might drop by the public parks .	0
NPI-adverbs	the waiter always ever thought that the actress does approach the waiters .	the waiter hardly ever thought that the actress does approach the waiters .	0
NPI-adverbs	an actor who should hardly forget documentaries kissed the mice .	an actor who should hardly forget documentaries kissed any mice .	1
NPI-adverbs	the pedestrians often ever explained that the teenager has a cup .	the pedestrians often also explained that the teenager has a cup .	0
NPI-adverbs	the lady sometimes thought that the men might also collaborate .	the lady sometimes thought that the men might ever collaborate .	1
NPI-adverbs	the adults often think that the student has also seen a pedestrian .	the adults often think that the student has ever seen a pedestrian .	1
NPI-adverbs	the men sometimes thought that the guests also observed a teacher .	the men sometimes thought that the guests ever observed a teacher .	1
NPI-adverbs	the doctors always thought that a waiter also murmured .	the doctors always thought that a waiter ever murmured .	1
NPI-adverbs	a woman sometimes imagined that a driver had also investigated the children .	a woman sometimes imagined that a driver had ever investigated the children .	1
NPI-adverbs	a guy often also explained that the waiters respected the guests .	a guy often ever explained that the waiters respected the guests .	1
NPI-adverbs	the patient always ever explained that the waitress murmured .	the patient always also explained that the waitress murmured .	0
NPI-adverbs	a customer who always wore any shoes had described students .	a customer who barely wore any shoes had described students .	0
NPI-adverbs	a human often explains that the guys ever do react .	a human often explains that the guys also do react .	0
NPI-adverbs	the man who could always describe the students are at art galleries .	the man who could always describe any students are at art galleries .	1
NPI-adverbs	a doctor who might rarely talk to ladies has bought the pants .	a doctor who might rarely talk to ladies has bought any pants .	1
NPI-adverbs	a pedestrian who has always observed children would drop by the banks .	a pedestrian who has always observed children would drop by any banks .	1
NPI-adverbs	a child who hardly praises sheep can love the guests .	a child who hardly praises sheep can love any guests .	1
